name,description,ratings,number of lectures,difficulty,average rating,price,category
Certified Crystal Healing Practitioner Diploma Course,Connect with the Crystal Kingdom and learn everything you need to know to become a Crystal Healing Practitioner,1177,51,All Levels,4.7,11.99,Personal development
2018 Complete Public Speaking Masterclass For Every Occasion,"TJ Walker's Incredibly Thorough and Comprehensive Public Speaking Course for Every Situation, Audience and Skill Level",1163,,All Levels,4.5,11.99,Personal development
Management Skills: New Manager Training in Essential Skills,"Management Skills Certification in Developing People, Leading Teams & Process Improvement",1113,,All Levels,4.4,11.99,Personal development
Inspirational Screenwriting.  The #1 Screenwriting Course!,Learn the screenwriting secrets behind successful cinematic stories in the world of film & television script writing.,1037,,All Levels,4.7,11.99,Personal development
Increase Your Intuitive Abilities Using EFT (Tapping),"Use Emotional Freedom Technique (EFT) to open your intuitive channels: clair-audience, clair-voyance & clair-sentience.",1004,,All Levels,4.6,11.99,Personal development
Radical Acceptance with Tara Brach,The Freeing Power of Mindfulness and Meditation,985,47,All Levels,4.6,11.99,Personal development
Finding Your Life's Purpose by Eckhart Tolle,A session with Eckhart Tolle to free you from the trap of compulsive thinking.,982,15,All Levels,4.2,11.99,Personal development
Think Like a Leader with Brian Tracy,Change your day to day habits to become a powerful motivator and achieve leadership success,981,62,Beginner,4.4,199.99,Personal development
NLP Master Practitioner Certificate (Advanced to Expert),Achology Certified Neuro-Linguistic Programming Master Practitioner Certificate Course | NLP Master Practitioner (NLPMP),956,146,Expert,4.6,11.99,Personal development
Personal Finance Masterclass - Easy Guide to Better Finances,"Your complete personal finance guide to understanding finances. Save more, invest smarter, reduce loans, retire earlier!",945,,All Levels,4.3,11.99,Personal development
Neuroscience for parents: How to raise amazing kids,Parenting to help your children develop a healthy self esteem and trust. nurture their talents and bond with them,940,,All Levels,4.5,11.99,Personal development
How To Remember Everything With Tom Weber,"Learn how to remember names, dates, presentations, speeches and anything else that holds importance in your life!",925,56,All Levels,4.5,11.99,Personal development
"Dowsing Course No 2: Multiple Choice, Asking Right Questions",This course teaches you how to ask multiple choice questions and how to formulate questions for maximum accuracy.,919,39,Intermediate,4.7,11.99,Personal development
How to remember every password,"Generate memorable, unique, secure passwords you never need write down",894,12,All Levels,4.7,11.99,Personal development
Sounds True Presents: Good Medicine,Pema Chodron on How to Turn Pain into Compassion Through the Practice of Meditation,881,,All Levels,4.9,11.99,Personal development
10X Effective Learning - Speed Reading & Memory Booster,"How to Learn Anything Fast: Advanced Speed Reading, Memory And Productivity Techniques To Skyrocket Your Learning!",877,176,All Levels,4.5,11.99,Personal development
"Sounds True's Freedom to Choose Something Different, Part 2",Pema Chodron on How to Transform Your Life and Find Lasting Peace and Happiness,849,14,All Levels,4.7,11.99,Personal development
Remove Blocks to Psychic Power with Past Life Therapy,Unlock Your Psychic Powers and Healing Abilities with Past Life Regression,847,24,All Levels,4.7,11.99,Personal development
Manifesting Your Best Life with Deepak Chopra - Part 1,Harness the power of intention to achieve your goals with joy and ease,832,,All Levels,4.5,24.99,Personal development
Life Coaching : Start Up Your Own Life Coaching Business,Life Coaching : Learn What It Takes To Start Up Your Own Life Coach Business or Life Coaching Practice,825,61,All Levels,4.6,11.99,Personal development
From Goal Setting to Success: Life Coach Certification,"Learn Life Coaching industry best practices. Help clients be successful, achieve their goals, and reach their dreams!",809,,All Levels,4.6,11.99,Personal development
